"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ETNPPL",64.1259099512834,-4.34756369585715,0.408551330429253,-10.6414136291988,1.91206125633186e-26,3.28664209350883e-22
"BATF3",717.493311955823,2.29932140224998,0.273921109062611,8.39410080558785,4.69473229952448e-17,4.03488767482631e-13
"PM20D2",260.502770608799,-1.52719560214266,0.199676046652768,-7.64836658048634,2.03548255858227e-14,1.16626365664902e-10
"SLC13A3",23.4281897914254,-3.89130511047822,0.523694492401335,-7.43048698609591,1.08198581449872e-13,4.64956354135462e-10
"LOC121107465",16.655814873796,-1.71777122273405,0.257617744709888,-6.66790723080235,2.5947670307439e-11,8.92029009829138e-08
"LOC112533405",11.4157676328912,5.38837729522807,0.819737199396277,6.5732984902924,4.92126613632967e-11,1.40986072695618e-07
"BCL2L10",1528.81608003075,1.11743148433597,0.171006419480282,6.5344417345971,6.38472441086156e-11,1.55680078217925e-07
"SUCNR1",202.670486118295,-2.2838551242401,0.350527320146261,-6.5154839379913,7.24556766387457e-11,1.55680078217925e-07
"NEURL1B",3988.44589458025,2.01524942968716,0.313880006114326,6.42044536265599,1.35876232881774e-10,2.59508507444979e-07
"CRCP",414.914671917725,-1.42792682831044,0.224744614340001,-6.35355304287837,2.10397590937904e-10,3.61652419063163e-07
"ASIC4",14.2634705290911,-2.51751810348221,0.398815329375031,-6.31249081480224,2.74579763908028e-10,4.14370097605687e-07
"IFI27L2",7785.76486421735,2.16673288474292,0.343684885553554,6.30441714436492,2.89280421855154e-10,4.14370097605687e-07
"LOC420368",2260.84846714838,1.82539718550936,0.292072316663286,6.24981239702275,4.1094599549862e-10,5.43365439740444e-07
"SOCS3",989.212834291852,2.23802090218761,0.362319900321984,6.17691962323554,6.53643280137816e-10,8.02533881592065e-07
"LOC101749758",40.6167906446433,-1.94093595530082,0.31627593359799,-6.13684365174586,8.41771563846413e-10,9.64614094063733e-07
"GIMAP6",2635.40187748827,1.20811834574656,0.198433763728499,6.08827007585028,1.14137217294884e-09,1.16935977485012e-06
"J6367_mgp09",1427.98271976061,-3.72405245239301,0.61188859638771,-6.08616090310881,1.15650219166048e-09,1.16935977485012e-06
"PLCXD3",70.4473410754516,-2.09814177201665,0.345862070860586,-6.06641186989942,1.30799445775199e-09,1.24906204079439e-06
"IFI6",18361.7919502205,2.4252532190169,0.4011898831723,6.04515049043578,1.49270605675512e-09,1.35042760050336e-06
"KRT13",11.5279906129814,6.38932156693606,1.05899968357501,6.03335550145467,1.6058959074809e-09,1.38018723768446e-06
"SERPINB5",307.711345568721,3.05012518134995,0.507594045501576,6.00898534642184,1.86687996063311e-09,1.52808569730107e-06
"SERPING1",2319.11009966251,1.76716866933137,0.295916803459588,5.97184292568468,2.34588339296365e-09,1.83288134734783e-06
"ARSK",169.065529039659,-0.692605383263349,0.11767403780892,-5.8857960188976,3.96142655227677e-09,2.91352770111697e-06
